geo,geopolitical_entity,obs_value,year,month,source
AT,Austria,5.4,2025,7,Eurostat
AT,Austria,5.7,2025,8,Eurostat
AT,Austria,5.4,2025,9,Eurostat
AT,Austria,5.5,2025,10,Eurostat
AT,Austria,5.7,2025,11,Eurostat
AT,Austria,5.8,2025,12,Eurostat
AT,Austria,6.1,2026,1,Eurostat
AT,Austria,6.7,2026,2,Eurostat
AT,Austria,5.9,2026,3,Eurostat
BA,Bosnia and Herzegovina,12.1,2025,7,Eurostat
BA,Bosnia and Herzegovina,12.1,2025,8,Eurostat
BA,Bosnia and Herzegovina,11.9,2025,9,Eurostat
BA,Bosnia and Herzegovina,11.9,2025,10,Eurostat
BA,Bosnia and Herzegovina,11.9,2025,11,Eurostat
BA,Bosnia and Herzegovina,11.8,2025,12,Eurostat
BA,Bosnia and Herzegovina,12.2,2026,1,Eurostat
BA,Bosnia and Herzegovina,12.2,2026,2,Eurostat
BE,Belgium,6.3,2025,7,Eurostat
BE,Belgium,6.4,2025,8,Eurostat
BE,Belgium,6.5,2025,9,Eurostat
BE,Belgium,6.4,2025,10,Eurostat
BE,Belgium,6.3,2025,11,Eurostat
BE,Belgium,6.4,2025,12,Eurostat
BE,Belgium,6.5,2026,1,Eurostat
BE,Belgium,6.4,2026,2,Eurostat
BE,Belgium,6.3,2026,3,Eurostat
BG,Bulgaria,3.6,2025,7,Eurostat
BG,Bulgaria,3.4,2025,8,Eurostat
BG,Bulgaria,3.2,2025,9,Eurostat
BG,Bulgaria,3.2,2025,10,Eurostat
BG,Bulgaria,3.2,2025,11,Eurostat
BG,Bulgaria,3.2,2025,12,Eurostat
BG,Bulgaria,3.4,2026,1,Eurostat
BG,Bulgaria,3.5,2026,2,Eurostat
BG,Bulgaria,3.6,2026,3,Eurostat
CH,Switzerland,5.0,2025,7,Eurostat
CH,Switzerland,5.1,2025,8,Eurostat
CH,Switzerland,5.1,2025,9,Eurostat
CH,Switzerland,4.9,2025,10,Eurostat
CH,Switzerland,4.9,2025,11,Eurostat
CH,Switzerland,5.0,2025,12,Eurostat
CY,Cyprus,4.8,2025,7,Eurostat
CY,Cyprus,4.5,2025,8,Eurostat
CY,Cyprus,3.1,2025,9,Eurostat
CY,Cyprus,2.9,2025,10,Eurostat
CY,Cyprus,4.5,2025,11,Eurostat
CY,Cyprus,4.8,2025,12,Eurostat
CY,Cyprus,4.7,2026,1,Eurostat
CY,Cyprus,4.7,2026,2,Eurostat
CY,Cyprus,4.8,2026,3,Eurostat
CZ,Czechia,2.9,2025,7,Eurostat
CZ,Czechia,3.2,2025,8,Eurostat
CZ,Czechia,3.0,2025,9,Eurostat
CZ,Czechia,3.1,2025,10,Eurostat
CZ,Czechia,2.9,2025,11,Eurostat
CZ,Czechia,3.0,2025,12,Eurostat
CZ,Czechia,3.4,2026,1,Eurostat
CZ,Czechia,3.4,2026,2,Eurostat
CZ,Czechia,3.1,2026,3,Eurostat
DE,Germany,3.9,2025,7,Eurostat
DE,Germany,3.9,2025,8,Eurostat
DE,Germany,4.0,2025,9,Eurostat
DE,Germany,3.6,2025,10,Eurostat
DE,Germany,3.8,2025,11,Eurostat
DE,Germany,3.7,2025,12,Eurostat
DE,Germany,4.2,2026,1,Eurostat
DE,Germany,4.2,2026,2,Eurostat
DE,Germany,4.2,2026,3,Eurostat
DK,Denmark,6.6,2025,7,Eurostat
DK,Denmark,6.6,2025,8,Eurostat
DK,Denmark,6.3,2025,9,Eurostat
DK,Denmark,6.6,2025,10,Eurostat
DK,Denmark,6.6,2025,11,Eurostat
DK,Denmark,5.8,2025,12,Eurostat
DK,Denmark,8.0,2026,1,Eurostat
DK,Denmark,8.3,2026,2,Eurostat
DK,Denmark,6.9,2026,3,Eurostat
EA21,Euro area – 21 countries (from 2026),6.2,2025,7,Eurostat
EA21,Euro area – 21 countries (from 2026),6.3,2025,8,Eurostat
EA21,Euro area – 21 countries (from 2026),6.4,2025,9,Eurostat
EA21,Euro area – 21 countries (from 2026),6.2,2025,10,Eurostat
EA21,Euro area – 21 countries (from 2026),6.2,2025,11,Eurostat
EA21,Euro area – 21 countries (from 2026),6.2,2025,12,Eurostat
