search_interest,year,month,search_term,source
43,2019,1,keikkatyö,Google Trends
37,2019,2,keikkatyö,Google Trends
36,2019,3,keikkatyö,Google Trends
31,2019,4,keikkatyö,Google Trends
33,2019,5,keikkatyö,Google Trends
32,2019,6,keikkatyö,Google Trends
28,2019,7,keikkatyö,Google Trends
34,2019,8,keikkatyö,Google Trends
37,2019,9,keikkatyö,Google Trends
39,2019,10,keikkatyö,Google Trends
38,2019,11,keikkatyö,Google Trends
41,2019,12,keikkatyö,Google Trends
49,2020,1,keikkatyö,Google Trends
38,2020,2,keikkatyö,Google Trends
34,2020,3,keikkatyö,Google Trends
34,2020,4,keikkatyö,Google Trends
25,2020,5,keikkatyö,Google Trends
29,2020,6,keikkatyö,Google Trends
29,2020,7,keikkatyö,Google Trends
34,2020,8,keikkatyö,Google Trends
39,2020,9,keikkatyö,Google Trends
35,2020,10,keikkatyö,Google Trends
34,2020,11,keikkatyö,Google Trends
27,2020,12,keikkatyö,Google Trends
41,2021,1,keikkatyö,Google Trends
40,2021,2,keikkatyö,Google Trends
35,2021,3,keikkatyö,Google Trends
42,2021,4,keikkatyö,Google Trends
31,2021,5,keikkatyö,Google Trends
39,2021,6,keikkatyö,Google Trends
36,2021,7,keikkatyö,Google Trends
40,2021,8,keikkatyö,Google Trends
49,2021,9,keikkatyö,Google Trends
49,2021,10,keikkatyö,Google Trends
44,2021,11,keikkatyö,Google Trends
42,2021,12,keikkatyö,Google Trends
65,2022,1,keikkatyö,Google Trends
58,2022,2,keikkatyö,Google Trends
62,2022,3,keikkatyö,Google Trends
70,2022,4,keikkatyö,Google Trends
60,2022,5,keikkatyö,Google Trends
61,2022,6,keikkatyö,Google Trends
72,2022,7,keikkatyö,Google Trends
71,2022,8,keikkatyö,Google Trends
81,2022,9,keikkatyö,Google Trends
54,2022,10,keikkatyö,Google Trends
80,2022,11,keikkatyö,Google Trends
63,2022,12,keikkatyö,Google Trends
94,2023,1,keikkatyö,Google Trends
80,2023,2,keikkatyö,Google Trends
76,2023,3,keikkatyö,Google Trends
71,2023,4,keikkatyö,Google Trends
75,2023,5,keikkatyö,Google Trends
81,2023,6,keikkatyö,Google Trends
60,2023,7,keikkatyö,Google Trends
79,2023,8,keikkatyö,Google Trends
76,2023,9,keikkatyö,Google Trends
83,2023,10,keikkatyö,Google Trends
74,2023,11,keikkatyö,Google Trends
66,2023,12,keikkatyö,Google Trends
83,2024,1,keikkatyö,Google Trends
84,2024,2,keikkatyö,Google Trends
84,2024,3,keikkatyö,Google Trends
86,2024,4,keikkatyö,Google Trends
75,2024,5,keikkatyö,Google Trends
72,2024,6,keikkatyö,Google Trends
74,2024,7,keikkatyö,Google Trends
84,2024,8,keikkatyö,Google Trends
100,2024,9,keikkatyö,Google Trends
83,2024,10,keikkatyö,Google Trends
77,2024,11,keikkatyö,Google Trends
61,2024,12,keikkatyö,Google Trends
96,2025,1,keikkatyö,Google Trends
82,2025,2,keikkatyö,Google Trends
73,2025,3,keikkatyö,Google Trends
75,2025,4,keikkatyö,Google Trends
57,2025,5,keikkatyö,Google Trends
53,2025,6,keikkatyö,Google Trends
60,2025,7,keikkatyö,Google Trends
74,2025,8,keikkatyö,Google Trends
75,2025,9,keikkatyö,Google Trends
58,2025,10,keikkatyö,Google Trends
62,2025,11,keikkatyö,Google Trends
50,2025,12,keikkatyö,Google Trends
81,2026,1,keikkatyö,Google Trends
62,2026,2,keikkatyö,Google Trends
65,2026,3,keikkatyö,Google Trends
62,2026,4,keikkatyö,Google Trends
53,2026,5,keikkatyö,Google Trends
