STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,s_adj,Seasonal adjustment,age,Age class,unit,Unit of measure,sex,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:UNE_RT_M$DEFAULTVIEW(1.0),Unemployment by sex and age - monthly data,M,Monthly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),TOTAL,Total,PC_ACT,Percentage of population in the labour force,T,Total,AT,Austria,2025-07,,5.4,,,,,
dataflow,ESTAT:UNE_RT_M$DEFAULTVIEW(1.0),Unemployment by sex and age - monthly data,M,Monthly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),TOTAL,Total,PC_ACT,Percentage of population in the labour force,T,Total,AT,Austria,2025-08,,5.7,,,,,
dataflow,ESTAT:UNE_RT_M$DEFAULTVIEW(1.0),Unemployment by sex and age - monthly data,M,Monthly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),TOTAL,Total,PC_ACT,Percentage of population in the labour force,T,Total,AT,Austria,2025-09,,5.4,,,,,
dataflow,ESTAT:UNE_RT_M$DEFAULTVIEW(1.0),Unemployment by sex and age - monthly data,M,Monthly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),TOTAL,Total,PC_ACT,Percentage of population in the labour force,T,Total,AT,Austria,2025-10,,5.5,,,,,
dataflow,ESTAT:UNE_RT_M$DEFAULTVIEW(1.0),Unemployment by sex and age - monthly data,M,Monthly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),TOTAL,Total,PC_ACT,Percentage of population in the labour force,T,Total,AT,Austria,2025-11,,5.7,,,,,
dataflow,ESTAT:UNE_RT_M$DEFAULTVIEW(1.0),Unemployment by sex and age - monthly data,M,Monthly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),TOTAL,Total,PC_ACT,Percentage of population in the labour force,T,Total,AT,Austria,2025-12,,5.8,,,,,
dataflow,ESTAT:UNE_RT_M$DEFAULTVIEW(1.0),Unemployment by sex and age - monthly data,M,Monthly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),TOTAL,Total,PC_ACT,Percentage of population in the labour force,T,Total,AT,Austria,2026-01,,6.1,,,,,
dataflow,ESTAT:UNE_RT_M$DEFAULTVIEW(1.0),Unemployment by sex and age - monthly data,M,Monthly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),TOTAL,Total,PC_ACT,Percentage of population in the labour force,T,Total,AT,Austria,2026-02,,6.7,,,,,
dataflow,ESTAT:UNE_RT_M$DEFAULTVIEW(1.0),Unemployment by sex and age - monthly data,M,Monthly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),TOTAL,Total,PC_ACT,Percentage of population in the labour force,T,Total,AT,Austria,2026-03,,5.9,,,,,
dataflow,ESTAT:UNE_RT_M$DEFAULTVIEW(1.0),Unemployment by sex and age - monthly data,M,Monthly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),TOTAL,Total,PC_ACT,Percentage of population in the labour force,T,Total,BA,Bosnia and Herzegovina,2025-07,,12.1,,,,,
dataflow,ESTAT:UNE_RT_M$DEFAULTVIEW(1.0),Unemployment by sex and age - monthly data,M,Monthly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),TOTAL,Total,PC_ACT,Percentage of population in the labour force,T,Total,BA,Bosnia and Herzegovina,2025-08,,12.1,,,,,
dataflow,ESTAT:UNE_RT_M$DEFAULTVIEW(1.0),Unemployment by sex and age - monthly data,M,Monthly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),TOTAL,Total,PC_ACT,Percentage of population in the labour force,T,Total,BA,Bosnia and Herzegovina,2025-09,,11.9,,,,,
dataflow,ESTAT:UNE_RT_M$DEFAULTVIEW(1.0),Unemployment by sex and age - monthly data,M,Monthly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),TOTAL,Total,PC_ACT,Percentage of population in the labour force,T,Total,BA,Bosnia and Herzegovina,2025-10,,11.9,,,,,
dataflow,ESTAT:UNE_RT_M$DEFAULTVIEW(1.0),Unemployment by sex and age - monthly data,M,Monthly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),TOTAL,Total,PC_ACT,Percentage of population in the labour force,T,Total,BA,Bosnia and Herzegovina,2025-11,,11.9,,,,,
dataflow,ESTAT:UNE_RT_M$DEFAULTVIEW(1.0),Unemployment by sex and age - monthly data,M,Monthly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),TOTAL,Total,PC_ACT,Percentage of population in the labour force,T,Total,BA,Bosnia and Herzegovina,2025-12,,11.8,,,,,
dataflow,ESTAT:UNE_RT_M$DEFAULTVIEW(1.0),Unemployment by sex and age - monthly data,M,Monthly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),TOTAL,Total,PC_ACT,Percentage of population in the labour force,T,Total,BA,Bosnia and Herzegovina,2026-01,,12.2,,,,,
dataflow,ESTAT:UNE_RT_M$DEFAULTVIEW(1.0),Unemployment by sex and age - monthly data,M,Monthly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),TOTAL,Total,PC_ACT,Percentage of population in the labour force,T,Total,BA,Bosnia and Herzegovina,2026-02,,12.2,,,,,
dataflow,ESTAT:UNE_RT_M$DEFAULTVIEW(1.0),Unemployment by sex and age - monthly data,M,Monthly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),TOTAL,Total,PC_ACT,Percentage of population in the labour force,T,Total,BE,Belgium,2025-07,,6.3,,,,,
