Category: All categories

Month,keikkatyö: (Finland)
2019-01,43
2019-02,37
2019-03,36
2019-04,31
2019-05,33
2019-06,32
2019-07,28
2019-08,34
2019-09,37
2019-10,39
2019-11,38
2019-12,41
2020-01,49
2020-02,38
2020-03,34
2020-04,34
2020-05,25
2020-06,29
2020-07,29
2020-08,34
2020-09,39
2020-10,35
2020-11,34
2020-12,27
2021-01,41
2021-02,40
2021-03,35
2021-04,42
2021-05,31
2021-06,39
2021-07,36
2021-08,40
2021-09,49
2021-10,49
2021-11,44
2021-12,42
2022-01,65
2022-02,58
2022-03,62
2022-04,70
2022-05,60
2022-06,61
2022-07,72
2022-08,71
2022-09,81
2022-10,54
2022-11,80
2022-12,63
2023-01,94
2023-02,80
2023-03,76
2023-04,71
2023-05,75
2023-06,81
2023-07,60
2023-08,79
2023-09,76
2023-10,83
2023-11,74
2023-12,66
2024-01,83
2024-02,84
2024-03,84
2024-04,86
2024-05,75
2024-06,72
2024-07,74
2024-08,84
2024-09,100
2024-10,83
2024-11,77
2024-12,61
2025-01,96
2025-02,82
2025-03,73
2025-04,75
2025-05,57
2025-06,53
2025-07,60
2025-08,74
2025-09,75
2025-10,58
2025-11,62
2025-12,50
2026-01,81
2026-02,62
2026-03,65
2026-04,62
2026-05,53
